"Time"	fur	rcnR	metJ	metR	metA	metH
950	1.0000000	0.7278306	0.4562734	0.7187021	0.7546345	0.0194200
1000	1.0000000	0.7278306	0.4562734	0.7188046	0.7546247	0.0194200

0	1.0000000	0.7278304	0.4562909	0.7185472	0.7544754	0.0194200
50	0.8159597	0.7191038	0.3650220	0.5881741	0.6349404	0.0195029
100	0.6991518	0.6779329	0.2528046	0.4528507	0.5442254	0.0200321
150	0.6649587	0.6314785	0.1848360	0.3912884	0.5280283	0.0208115
200	0.6566878	0.6014903	0.1505644	0.3712110	0.5414800	0.0213928
250	0.6548512	0.5868239	0.1345397	0.3667381	0.5586420	0.0216937
300	0.6544621	0.5806969	0.1273171	0.3667496	0.5715299	0.0218202
350	0.6543820	0.5783744	0.1241259	0.3675580	0.5795947	0.0218671
400	0.6543658	0.5775479	0.1227326	0.3682227	0.5841892	0.0218831
450	0.6543626	0.5772661	0.1221290	0.3686302	0.5866609	0.0218883
500	0.6543619	0.5771728	0.1218689	0.3688514	0.5879401	0.0218899
550	0.8384021	0.5907546	0.2603026	0.5478188	0.7046353	0.0215314
600	0.9552099	0.6402544	0.3965106	0.7201212	0.7791129	0.0205672
650	0.9894031	0.6848205	0.4507697	0.7656755	0.7833486	0.0199029
700	0.9976740	0.7097539	0.4637046	0.7525337	0.7702273	0.0195978
750	0.9995106	0.7209370	0.4634953	0.7325417	0.7601036	0.0194804
800	0.9998997	0.7253646	0.4609097	0.7207259	0.7552632	0.0194394
850	0.9999798	0.7269860	0.4588245	0.7163024	0.7536740	0.0194260
900	0.9999960	0.7275500	0.4575680	0.7156802	0.7534994	0.0194218
950	0.9999992	0.7277393	0.4568988	0.7163761	0.7537604	0.0194205
1000	0.9999998	0.7278014	0.4565657	0.7172428	0.7540616	0.0194201

0	1.0000000	0.7278304	0.4562909	0.7185472	0.7544754	0.0194200
50	1.0000000	0.7976001	0.4562809	0.7187208	0.7545509	0.0194200
100	1.0000000	0.8606659	0.4562766	0.7188004	0.7545869	0.0194200
150	1.0000000	0.8884965	0.4562747	0.7188365	0.7546038	0.0194200
200	1.0000000	0.8987744	0.4562739	0.7188527	0.7546117	0.0194200
250	1.0000000	0.9022883	0.4562736	0.7188599	0.7546154	0.0194200
300	1.0000000	0.9034422	0.4562735	0.7188631	0.7546171	0.0194200
350	1.0000000	0.9038126	0.4562734	0.7188645	0.7546179	0.0194200
400	1.0000000	0.9039298	0.4562734	0.7188651	0.7546182	0.0194200
450	1.0000000	0.9039666	0.4562734	0.7188653	0.7546184	0.0194200
500	1.0000000	0.9039781	0.4562734	0.7188655	0.7546185	0.0194200
550	1.0000000	0.8342122	0.4562734	0.7188655	0.7546185	0.0194200
600	1.0000000	0.7711475	0.4562734	0.7188655	0.7546185	0.0194200
650	1.0000000	0.7433173	0.4562734	0.7188655	0.7546185	0.0194200
700	1.0000000	0.7330394	0.4562734	0.7188655	0.7546185	0.0194200
750	1.0000000	0.7295256	0.4562734	0.7188655	0.7546185	0.0194200
800	1.0000000	0.7283717	0.4562734	0.7188655	0.7546185	0.0194200
850	1.0000000	0.7280013	0.4562734	0.7188655	0.7546185	0.0194200
900	1.0000000	0.7278841	0.4562734	0.7188655	0.7546185	0.0194200
950	1.0000000	0.7278473	0.4562734	0.7188655	0.7546185	0.0194200
1000	1.0000000	0.7278358	0.4562734	0.7188655	0.7546185	0.0194200

0	1.0000000	0.7278304	0.4562909	0.7185472	0.7544754	0.0194200
50	1.0000000	0.7278305	0.4562809	0.7187208	0.7545509	0.0194200
100	1.0000000	0.7278306	0.4562766	0.7188004	0.7545869	0.0194200
150	1.0000000	0.7278306	0.4562747	0.7188365	0.7546038	0.0194200
200	1.0000000	0.7278306	0.4562739	0.7188527	0.7546117	0.0194200
250	1.0000000	0.7278306	0.4562736	0.7188599	0.7546154	0.0194200
300	1.0000000	0.7278306	0.4562735	0.7188631	0.7546171	0.0194200
350	1.0000000	0.7278306	0.4562734	0.7188645	0.7546179	0.0194200
400	1.0000000	0.7278306	0.4562734	0.7188651	0.7546182	0.0194200
450	1.0000000	0.7278306	0.4562734	0.7188653	0.7546184	0.0194200
500	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
550	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
600	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
650	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
700	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
750	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
800	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
850	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
900	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
950	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
1000	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200

0	1.0000000	0.7278304	0.4562909	0.7185472	0.7544754	0.0194200
50	1.0000000	0.7278305	0.4562809	0.6831832	0.7545270	0.0194200
100	1.0000000	0.7278306	0.4562766	0.6419920	0.7544216	0.0194200
150	1.0000000	0.7278306	0.4562747	0.6181572	0.7542188	0.0194200
200	1.0000000	0.7278306	0.4562739	0.6067409	0.7540206	0.0194200
250	1.0000000	0.7278306	0.4562736	0.6017432	0.7538748	0.0194200
300	1.0000000	0.7278306	0.4562735	0.5996679	0.7537834	0.0194200
350	1.0000000	0.7278306	0.4562734	0.5988356	0.7537317	0.0194200
400	1.0000000	0.7278306	0.4562734	0.5985100	0.7537044	0.0194200
450	1.0000000	0.7278306	0.4562734	0.5983849	0.7536907	0.0194200
500	1.0000000	0.7278306	0.4562734	0.5983375	0.7536840	0.0194200
550	1.0000000	0.7278306	0.4562734	0.6338580	0.7537168	0.0194200
600	1.0000000	0.7278306	0.4562734	0.6751225	0.7538995	0.0194200
650	1.0000000	0.7278306	0.4562734	0.6989907	0.7541405	0.0194200
700	1.0000000	0.7278306	0.4562734	0.7104221	0.7543368	0.0194200
750	1.0000000	0.7278306	0.4562734	0.7154265	0.7544651	0.0194200
800	1.0000000	0.7278306	0.4562734	0.7175047	0.7545395	0.0194200
850	1.0000000	0.7278306	0.4562734	0.7183383	0.7545794	0.0194200
900	1.0000000	0.7278306	0.4562734	0.7186645	0.7545997	0.0194200
950	1.0000000	0.7278306	0.4562734	0.7187899	0.7546097	0.0194200
1000	1.0000000	0.7278306	0.4562734	0.7188373	0.7546145	0.0194200
