"Time"	fur	rcnR	metJ	metR	metA	metH
400	0.6654266	0.5790298	0.1055880	0.2982201	0.6121839	0.0365222
450	0.6673210	0.5284840	0.1139049	0.3306320	0.5749050	0.0215767
500	0.6706830	0.5219400	0.0930747	0.3507778	0.5193422	0.0252443
550	1.0168623	0.6591114	0.3867401	0.7274750	0.8667985	0.0139344
600	1.0046404	0.7830976	0.4291706	0.8455676	0.8386042	0.0203137
650	1.0065843	0.7537915	0.4323318	0.7475958	0.8245455	0.0181976
700	1.0887256	0.7199300	0.3942977	0.7214491	0.7184257	0.0130773
750	1.1422291	0.7487821	0.4533684	0.7523123	0.7281773	0.0071570
800	0.9975900	0.7364496	0.4313167	0.7535802	0.7745113	0.0271066
850	0.9572531	0.7325890	0.4235624	0.7851129	0.7256487	0.0172778
900	1.0374008	0.7622627	0.4273246	0.7831326	0.7729543	0.0221122
950	0.9548855	0.6673703	0.4264705	0.7707535	0.7023623	0.0088912
1000	1.0234266	0.7661438	0.3948841	0.8219322	0.7292580	0.0198315

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	1.0595227	0.9512775	0.3638867	0.7107854	0.8167234	0.0170519
100	1.0761792	0.9135404	0.4009849	0.8283013	0.8786888	0.0257411
150	1.1419568	0.8837584	0.3772847	0.7907252	0.7904469	0.0224539
200	1.0593695	0.8781212	0.3987400	0.8096020	0.8237583	0.0164380
250	0.9696414	0.9226528	0.4200798	0.8414688	0.7308133	0.0101906
300	0.9496579	0.9194404	0.4321754	0.8144080	0.7397601	0.0133232
350	0.9778719	0.8705516	0.4566480	0.7610660	0.7960019	0.0219237
400	0.9392949	0.8343310	0.4912593	0.7296545	0.6823862	0.0210751
450	1.0303861	0.9139813	0.5135888	0.6887733	0.7265813	0.0189816
500	0.9479527	0.9067993	0.4600670	0.5969900	0.7026632	0.0176947
550	0.9493092	0.7850867	0.4949034	0.6596112	0.8127266	0.0125789
600	0.9390820	0.7956072	0.4924896	0.7042510	0.7528363	0.0161388
650	0.9887815	0.7294500	0.4559882	0.7070588	0.7390879	0.0194158
700	1.0118586	0.7411938	0.4060806	0.6933614	0.7540195	0.0238556
750	0.9810431	0.7204796	0.4370279	0.7293676	0.6490901	0.0332852
800	1.0224094	0.6750346	0.4401190	0.6777383	0.7554311	0.0281626
850	0.9865149	0.6598398	0.4794643	0.7737573	0.7354240	0.0302332
900	0.9789963	0.6910883	0.4728311	0.7247766	0.7267068	0.0308493
950	1.0701349	0.7224822	0.4822417	0.8068410	0.7394543	0.0316128
1000	1.0303170	0.6677549	0.5282382	0.7595763	0.7923881	0.0172994

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	0.9981155	0.7942012	0.3572820	0.7534404	0.7422159	0.0091468
100	0.9744034	0.6958688	0.4522772	0.7462396	0.7670893	0.0073434
150	1.0218001	0.7447980	0.4586175	0.7103652	0.7554478	0.0166797
200	1.0058952	0.7224352	0.4648495	0.7789805	0.7914052	0.0196305
250	1.0518849	0.7860298	0.4367485	0.7820753	0.8421338	0.0228383
300	1.0538507	0.6520859	0.3958693	0.9013792	0.7979087	0.0427080
350	0.9228373	0.8042619	0.4011014	0.7765835	0.7605832	0.0282912
400	0.9662267	0.7782876	0.4550360	0.8069487	0.7780949	0.0072169
450	0.9154734	0.7615573	0.4709199	0.8207852	0.7433423	0.0188686
500	0.9610020	0.7038442	0.5423937	0.8202874	0.6634542	0.0315524
550	1.0245631	0.7395267	0.5391656	0.7350813	0.7371112	0.0255345
600	1.0270162	0.6738116	0.4958493	0.6922603	0.7780876	0.0130656
650	1.0633254	0.8079249	0.4601096	0.6832156	0.7774929	0.0060606
700	0.9749567	0.7639401	0.4497822	0.6510436	0.7972267	0.0154220
750	1.0105211	0.7580349	0.4743931	0.6457421	0.7367168	0.0180307
800	0.9149253	0.7075843	0.4314736	0.7023222	0.7858876	0.0249165
850	0.9956980	0.7025026	0.4796316	0.7570379	0.7445268	0.0225981
900	0.9642152	0.7627500	0.4905013	0.6884812	0.7500583	0.0203203
950	0.9519050	0.7157859	0.4970575	0.6826710	0.7146327	0.0177604
1000	0.9562629	0.7515247	0.4525626	0.7347821	0.6559061	0.0189642

0	1.0085816	0.7329416	0.4497039	0.7656835	0.7524974	0.0283816
50	1.0457446	0.7584391	0.3963736	0.6373868	0.8483699	0.0082459
100	1.0593585	0.7821521	0.4038226	0.5813747	0.7505710	0.0059203
150	1.0183192	0.7374689	0.4589631	0.6129180	0.7875038	0.0241933
200	1.0330130	0.7177801	0.4461060	0.5346518	0.7746190	0.0245391
250	0.9422204	0.6668311	0.4717681	0.5666521	0.7042208	0.0254885
300	1.0504637	0.7836958	0.4228897	0.6188944	0.8570158	0.0306119
350	1.0000534	0.6904978	0.4169822	0.5431317	0.8254866	0.0140786
400	0.9143166	0.7376660	0.4209516	0.6148518	0.8240919	0.0332219
450	0.8858131	0.7118581	0.4965424	0.6043327	0.7496685	0.0128639
500	1.0025839	0.6895694	0.5528104	0.5915735	0.7181811	0.0239456
550	1.0323254	0.6823407	0.5176309	0.5500970	0.7366095	0.0224057
600	1.0864999	0.7523140	0.4524756	0.6440941	0.7492545	0.0092773
650	1.0294298	0.7132278	0.4552685	0.6653197	0.7588275	0.0223974
700	0.9984454	0.7445855	0.4390294	0.7136116	0.8269490	0.0190803
750	1.0399855	0.7840157	0.4365737	0.7074521	0.7293534	0.0170608
800	0.9856077	0.7248677	0.4359214	0.7234148	0.6877749	0.0176954
850	0.9239143	0.7938385	0.4589190	0.7464647	0.7829063	0.0074648
900	0.9683564	0.8042522	0.4787664	0.7416797	0.6902335	0.0273554
950	1.0109635	0.6716035	0.4493780	0.6858811	0.7325640	0.0100981
1000	1.0162965	0.6785539	0.3974272	0.7196056	0.8132372	0.0156174
