"Time"	fur	rcnR	metJ	metR	metA	metH
600	0.8329828	0.6511584	0.3556487	0.4112086	0.5490320	0.0091716
650	0.7956842	0.4942844	0.2858724	0.4387021	0.5275987	0.0150802
700	1.0033862	0.6294863	0.3609833	0.5581471	0.5099270	0.0278686
750	0.6520510	0.5873362	0.3540496	0.5398594	0.6002022	0.0231802
800	0.6957743	0.6135965	0.3218495	0.5247736	0.6852232	0.0075533
850	0.8201596	0.6268830	0.3367818	0.5091473	0.5374271	0.0176860
900	0.8518040	0.5397862	0.4258999	0.5979189	0.5263822	0.0190441
950	0.7704117	0.6267295	0.3645140	0.4849512	0.5132352	0.0204030
1000	0.9229007	0.6018335	0.4134954	0.4679575	0.6014170	0.0178575

0	0.9415609	0.4997464	0.3673993	0.5993124	0.6880169	0.0219250
50	0.7573038	0.4627767	0.2016113	0.5159925	0.5628441	0.0178893
100	0.5371639	0.4259354	0.1638269	0.3402900	0.3777188	0.0183585
150	0.4320025	0.4248111	0.0717022	0.3984106	0.3357246	0.0095738
200	0.4728641	0.6048289	0.0661611	0.3901583	0.4829502	0.0244484
250	0.4549391	0.4696666	0.0630821	0.3468115	0.4283713	0.0178011
300	0.4651060	0.4133889	0.0656829	0.2740498	0.4755605	0.0116579
350	0.5172265	0.4325041	0.0515958	0.2715575	0.5167865	0.0256708
400	0.6257646	0.5299110	0.0503328	0.3250486	0.5568748	0.0131748
450	0.4824496	0.5128839	0.0705496	0.2987387	0.4757049	0.0088551
500	0.4972502	0.4659932	0.0716036	0.2667563	0.5132559	0.0286137
550	0.7531719	0.4819350	0.2056292	0.3508243	0.4442573	0.0143105
600	0.7777579	0.5545936	0.2991025	0.5752132	0.5738939	0.0179195
650	0.8652369	0.6531324	0.3888670	0.6252767	0.5854983	0.0079409
700	0.9131858	0.6312140	0.3619988	0.4467714	0.6238362	0.0197893
750	0.7393561	0.6981775	0.3041155	0.4862427	0.6010814	0.0510342
800	0.7846230	0.6600230	0.2954256	0.6220850	0.5662104	0.0079794
850	0.8121003	0.6089821	0.3339729	0.5887414	0.6021906	0.0274687
900	0.7899357	0.5812197	0.3485367	0.5201105	0.6368936	0.0133801
950	0.8251059	0.5142237	0.3804074	0.5692100	0.5749938	0.0168336
1000	0.8164548	0.4610970	0.3012212	0.7282591	0.5157196	0.0072567

0	0.6729211	0.6652936	0.3868414	0.5320785	0.5796009	0.0112293
50	0.8709323	0.6865337	0.2310749	0.6464161	0.5330867	0.0067932
100	0.9235333	0.8129676	0.2746831	0.6023521	0.8258943	0.0153427
150	1.0739500	0.7778722	0.2854249	0.6765343	0.5737352	0.0216799
200	0.8071054	0.7588561	0.3097059	0.5869204	0.5761151	0.0249524
250	0.7961164	0.7349552	0.3691980	0.6589174	0.6081690	0.0157732
300	0.6689867	0.7150329	0.3141846	0.7308849	0.7008134	0.0102828
350	0.7276834	0.7135732	0.3378010	0.6014965	0.6628554	0.0027281
400	0.7883226	0.6545368	0.3017567	0.5965709	0.6659919	0.0051013
450	0.7508403	0.6224237	0.3791561	0.5998009	0.6673770	0.0343535
500	0.7693852	0.6373379	0.4085109	0.5181124	0.5439668	0.0194651
550	0.7210181	0.7201157	0.3601731	0.5767531	0.5051459	0.0169761
600	0.8768428	0.6656495	0.3811635	0.5632738	0.6910373	0.0133937
650	0.7382258	0.6590120	0.3185856	0.6632593	0.6192921	0.0122387
700	0.7293593	0.6740475	0.4439664	0.5346193	0.5517580	0.0290297
750	0.9736070	0.4852687	0.3161795	0.5625390	0.6306244	0.0438935
800	0.7572793	0.6689209	0.2723234	0.4804028	0.6428062	0.0189427
850	0.7895110	0.5454838	0.3537087	0.6115088	0.6515886	0.0215282
900	0.7971983	0.5308034	0.3639722	0.6100242	0.5409110	0.0311778
950	0.7458708	0.5957607	0.3633945	0.5572203	0.4447962	0.0402543
1000	0.6686732	0.6224228	0.4185420	0.5958080	0.6012074	0.0491509

0	0.7261908	0.4997823	0.4095705	0.6365818	0.6335563	0.0104234
50	0.7864300	0.7297716	0.3198559	0.5411857	0.5854487	0.0407978
100	0.6663898	0.5689931	0.3318361	0.6616663	0.5910139	0.0176303
150	0.7320666	0.4597930	0.3087424	0.5607325	0.5836968	0.0060457
200	0.8794035	0.5594443	0.3335262	0.5262003	0.7166784	0.0170266
250	0.8132044	0.5229025	0.3227804	0.5599616	0.6615777	0.0233623
300	0.7399366	0.5919456	0.3383813	0.6447304	0.6248171	0.0460556
350	0.8057378	0.6061126	0.3511173	0.4916687	0.6432621	0.0231531
400	0.7502982	0.5808389	0.3418620	0.6079094	0.5648449	0.0126584
450	0.7075094	0.7055604	0.2141285	0.6285076	0.6960911	0.0037301
500	0.5952966	0.4973268	0.2469460	0.7189820	0.5879491	0.0212771
550	0.6690668	0.5384750	0.3465500	0.5905278	0.4633204	0.0404728
600	0.7877237	0.4705014	0.3185081	0.6761896	0.5018462	0.0165391
650	0.8332549	0.5136964	0.3746811	0.7109590	0.6231007	0.0162486
700	0.7605062	0.6481573	0.4775797	0.5412479	0.7259787	0.0129053
750	0.7944127	0.5743127	0.4096995	0.4807360	0.6386641	0.0057424
800	0.8265797	0.5857033	0.3905786	0.5315611	0.6401081	0.0064919
850	0.8534372	0.5496353	0.3488190	0.5070590	0.7008843	0.0108985
900	0.8326929	0.6206551	0.4323178	0.6438099	0.5775588	0.0220290
950	0.7502189	0.5548860	0.3417318	0.5420342	0.5314839	0.0078098
1000	0.7667618	0.6506101	0.3990811	0.5337748	0.6439441	0.0054976

0	0.8637234	0.5114103	0.3007287	0.6802180	0.5800614	0.0163749
50	0.8394232	0.5839789	0.2560468	0.4290247	0.5260954	0.0050087
100	0.7290728	0.6005630	0.3379379	0.4859472	0.6450301	0.0092622
150	0.8356851	0.7287117	0.3716351	0.4020458	0.7047475	0.0139376
200	0.7845697	0.7207113	0.3699618	0.4887856	0.5997301	0.0056612
250	0.7248997	0.6133596	0.3180937	0.3878279	0.4917486	0.0114460
