"Time"	fur	rcnR	metJ	metR	metA	metH
550	0.9331236	0.6219611	0.4340095	0.7611376	0.8520148	0.0208610
600	0.9870603	0.6852325	0.4842369	0.8140281	0.8125001	0.0198817
650	0.9974963	0.7142035	0.4771380	0.7691477	0.7711263	0.0195478
700	0.9995156	0.7239618	0.4671011	0.7327319	0.7551703	0.0194531
750	0.9999063	0.7268118	0.4612699	0.7173626	0.7516142	0.0194282
800	0.9999819	0.7275759	0.4584679	0.7137890	0.7519369	0.0194219
850	0.9999965	0.7277693	0.4572157	0.7144766	0.7529098	0.0194204
900	0.9999993	0.7278163	0.4566738	0.7159780	0.7536701	0.0194201
950	0.9999999	0.7278273	0.4564427	0.7171963	0.7541304	0.0194200
1000	1.0000000	0.7278299	0.4563448	0.7179723	0.7543788	0.0194200

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	1.0000000	0.8686227	0.4562746	0.7188268	0.7546107	0.0194200
100	1.0000000	0.8968851	0.4562739	0.7188487	0.7546151	0.0194200
150	1.0000000	0.9025584	0.4562736	0.7188582	0.7546171	0.0194200
200	1.0000000	0.9036973	0.4562735	0.7188624	0.7546179	0.0194200
250	1.0000000	0.9039259	0.4562734	0.7188642	0.7546183	0.0194200
300	1.0000000	0.9039718	0.4562734	0.7188650	0.7546184	0.0194200
350	1.0000000	0.9039810	0.4562734	0.7188653	0.7546185	0.0194200
400	1.0000000	0.9039829	0.4562734	0.7188654	0.7546185	0.0194200
450	1.0000000	0.9039832	0.4562734	0.7188655	0.7546185	0.0194200
500	1.0000000	0.9039833	0.4562734	0.7188655	0.7546185	0.0194200
550	1.0000000	0.7631912	0.4562734	0.7188655	0.7546185	0.0194200
600	1.0000000	0.7349288	0.4562734	0.7188655	0.7546185	0.0194200
650	1.0000000	0.7292555	0.4562734	0.7188655	0.7546185	0.0194200
700	1.0000000	0.7281166	0.4562734	0.7188655	0.7546185	0.0194200
750	1.0000000	0.7278880	0.4562734	0.7188655	0.7546185	0.0194200
800	1.0000000	0.7278421	0.4562734	0.7188655	0.7546185	0.0194200
850	1.0000000	0.7278329	0.4562734	0.7188655	0.7546185	0.0194200
900	1.0000000	0.7278311	0.4562734	0.7188655	0.7546185	0.0194200
950	1.0000000	0.7278307	0.4562734	0.7188655	0.7546185	0.0194200
1000	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	1.0000000	0.7278306	0.4562746	0.7188268	0.7546107	0.0194200
100	1.0000000	0.7278306	0.4562739	0.7188487	0.7546151	0.0194200
150	1.0000000	0.7278306	0.4562736	0.7188582	0.7546171	0.0194200
200	1.0000000	0.7278306	0.4562735	0.7188624	0.7546179	0.0194200
250	1.0000000	0.7278306	0.4562734	0.7188642	0.7546183	0.0194200
300	1.0000000	0.7278306	0.4562734	0.7188650	0.7546184	0.0194200
350	1.0000000	0.7278306	0.4562734	0.7188653	0.7546185	0.0194200
400	1.0000000	0.7278306	0.4562734	0.7188654	0.7546185	0.0194200
450	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
500	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
550	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
600	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
650	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
700	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
750	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
800	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
850	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
900	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
950	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200
1000	1.0000000	0.7278306	0.4562734	0.7188655	0.7546185	0.0194200

0	1.0000000	0.7278306	0.4562764	0.7187771	0.7546005	0.0194200
50	1.0000000	0.7278306	0.4562746	0.6391084	0.7544994	0.0194200
100	1.0000000	0.7278306	0.4562739	0.6121262	0.7542182	0.0194200
150	1.0000000	0.7278306	0.4562736	0.6029882	0.7539683	0.0194200
200	1.0000000	0.7278306	0.4562735	0.5998937	0.7538153	0.0194200
250	1.0000000	0.7278306	0.4562734	0.5988458	0.7537380	0.0194200
300	1.0000000	0.7278306	0.4562734	0.5984910	0.7537029	0.0194200
350	1.0000000	0.7278306	0.4562734	0.5983709	0.7536880	0.0194200
400	1.0000000	0.7278306	0.4562734	0.5983302	0.7536820	0.0194200
450	1.0000000	0.7278306	0.4562734	0.5983164	0.7536797	0.0194200
500	1.0000000	0.7278306	0.4562734	0.5983118	0.7536787	0.0194200
550	1.0000000	0.7278306	0.4562734	0.6780297	0.7538411	0.0194200
600	1.0000000	0.7278306	0.4562734	0.7050330	0.7541763	0.0194200
650	1.0000000	0.7278306	0.4562734	0.7141800	0.7544078	0.0194200
700	1.0000000	0.7278306	0.4562734	0.7172784	0.7545262	0.0194200
750	1.0000000	0.7278306	0.4562734	0.7183279	0.7545800	0.0194200
800	1.0000000	0.7278306	0.4562734	0.7186834	0.7546029	0.0194200
850	1.0000000	0.7278306	0.4562734	0.7188039	0.7546124	0.0194200
900	1.0000000	0.7278306	0.4562734	0.7188446	0.7546161	0.0194200
950	1.0000000	0.7278306	0.4562734	0.7188585	0.7546176	0.0194200
1000	1.0000000	0.7278306	0.4562734	0.7188631	0.7546182	0.0194200
