"Time"	fur	rcnR	metJ	metR	metA	metH
600	0.7285732	0.7101157	0.5121560	0.5033521	0.5718829	0.0231898
650	0.7902969	0.5261291	0.3663856	0.6175507	0.5230479	0.0239554
700	0.8180441	0.6168412	0.3508240	0.5247714	0.4696160	0.0233187
750	0.7298225	0.5921015	0.3311251	0.6169496	0.5212860	0.0361249
800	0.6439053	0.6053378	0.3092874	0.6550717	0.5604458	0.0163496
850	0.7874961	0.5059611	0.2894696	0.5752325	0.5497291	0.0350092
900	0.7187707	0.5862695	0.4193636	0.6551718	0.6219260	0.0236787
950	0.7832359	0.5702795	0.3907820	0.7632104	0.6456404	0.0151131
1000	0.8157337	0.4628506	0.3502512	0.7460240	0.5103979	0.0079520

0	0.7814623	0.5015266	0.3401382	0.6345374	0.6051044	0.0379573
50	0.7972092	0.6536630	0.3164494	0.6268975	0.6838017	0.0013693
100	0.6641268	0.4778629	0.3343030	0.6082494	0.6289985	0.0065411
150	0.7885890	0.5157253	0.3846648	0.5038197	0.5478986	0.0070648
200	0.8018022	0.5532507	0.3276659	0.5239576	0.4707723	0.0155821
250	0.9059827	0.5915212	0.4049554	0.5809438	0.7151116	0.0410412
300	0.7752304	0.4095008	0.3793121	0.8082401	0.5652451	0.0458430
350	0.8086366	0.4760608	0.4012918	0.5631806	0.5279074	0.0152138
400	0.8001144	0.5939516	0.3814107	0.6374620	0.6115265	0.0022565
450	0.6250439	0.5996220	0.3110755	0.5567737	0.5408789	0.0203175
500	0.7201186	0.5067895	0.4613877	0.6043171	0.5139978	0.0195153
550	0.7139759	0.5309333	0.4343808	0.6213607	0.6112661	0.0385162
600	0.9145527	0.5469737	0.4815315	0.4994379	0.6561518	0.0256688
650	0.8027156	0.7875578	0.3015400	0.5320657	0.6777595	0.0094832
700	0.8660443	0.7608479	0.3786055	0.5435254	0.7213969	0.0193157
750	0.6736855	0.6254939	0.2959185	0.4942409	0.6525747	0.0189130
800	0.7538832	0.6202243	0.3392255	0.6002165	0.4813884	0.0188873
850	0.7918161	0.5211560	0.4429610	0.5275872	0.6110571	0.0074579
900	0.8283081	0.5930886	0.3820232	0.6144939	0.6788149	0.0149532
950	0.6426030	0.5564553	0.3396787	0.5977950	0.5767686	0.0219641
1000	0.7961739	0.6644837	0.3494122	0.5900750	0.4797262	0.0093730

0	0.7977431	0.5480935	0.4009682	0.6095054	0.5429016	0.0169860
50	0.8342769	0.4908998	0.4096433	0.4715267	0.5623058	0.0053991
100	0.8982931	0.4745197	0.3226918	0.3947115	0.5192501	0.0097967
150	0.7485165	0.6194116	0.4428258	0.4757952	0.6467867	0.0162506
200	0.7533956	0.5403860	0.3906263	0.4323557	0.5672579	0.0142564
250	0.7326317	0.5609898	0.4099184	0.3592026	0.6919503	0.0413744
300	0.8942346	0.5706664	0.3656204	0.4642836	0.6730672	0.0181946
350	0.8379648	0.5399391	0.3193831	0.5008194	0.6288359	0.0083029
400	0.7377294	0.5449029	0.3027041	0.4697910	0.5712076	0.0367594
450	0.6497803	0.5460660	0.4847888	0.4836894	0.5299507	0.0074494
500	0.7583196	0.4711883	0.4407268	0.4835832	0.5296588	0.0371925
550	0.8512057	0.4552069	0.4020770	0.4238491	0.5871894	0.0330413
600	0.8123495	0.5767339	0.3407689	0.5169337	0.6211276	0.0192062
650	0.8048513	0.5574462	0.3178430	0.4315787	0.5857581	0.0179958
700	0.7762363	0.5692830	0.3790383	0.5779442	0.6643257	0.0121118
750	0.8206978	0.5761568	0.3571989	0.5694152	0.4630766	0.0100679
800	0.8617619	0.6182122	0.2566889	0.5721499	0.5438038	0.0109725
850	0.7649109	0.6297540	0.4428153	0.5211617	0.5531381	0.0052139
900	0.7616121	0.7357952	0.3786983	0.5911500	0.5902729	0.0295387
950	0.7581106	0.6771268	0.4241735	0.5423880	0.6133489	0.0033027
1000	0.8130448	0.5736625	0.2982451	0.6330882	0.6168803	0.0100155
