ENSP	VNG-ORF
Q9HS39	VNG0420H
Q9HS38	VNG0421C
Q9HS37	VNG0422G
Q9HS36	VNG0424C
Q9HS35	VNG0425G
Q9HS34	VNG0426G
Q9HS33	VNG0427G
Q9HS32	VNG0428G
Q9HS31	VNG0429H
Q9HS30	VNG0430H
Q9HS29	VNG0431G
Q9HS28	VNG0433C
Q9HS27	VNG0435H
Q9HS26	VNG0436G
Q9HS25	VNG0437C
Q9HS23	VNG0438G
Q9HS24	VNG0439C
Q9HS22	VNG0440C
Q9HS21	VNG0441H
Q9HS20	VNG0442G
DAPA_HALN1	VNG0444G
Q9HS17	VNG0446G
Q9HS18	VNG0447H
PYEL_HALN1	VNG0448G
Q9HS15	VNG0450C
Q9HS14	VNG0451G
PSB1_HALN1	VNG0452G
Q9HS12	VNG0453G
Q9HS11	VNG0455G
Q9HS10	VNG0457G
Q9HS09	VNG0458G
Q9HS08	VNG0459G
SYD_HALN1	VNG0461G
Q9HS06	VNG0462C
Q9HS05	VNG0463C
Q9HS04	VNG0465G
Q9HS03	VNG0466C
Q9HS02	VNG0467G
Q9HS01	VNG0468C
Q9HS00	VNG0469H
Q9HRZ9	VNG0470G
Q9HRZ8	VNG0471C
Q9HRZ7	VNG0472H
Q9HRZ6	VNG0473G
Q9HRZ5	VNG0474G
Q9HRZ4	VNG0475C
Q9HRZ3	VNG0478C
Q9HRZ2	VNG0479G
Q9HRZ1	VNG0481G
Q9HRZ0	VNG0482H
Q9HRY9	VNG0483C
Q9HRY8	VNG0484G
Q9HRY7	VNG0485H
Q9HRY6	VNG0486G
Q9HRY5	VNG0487H
Q9HRY4	VNG0488H
DNAJ_HALN1	VNG0489G
DNAK_HALN1	VNG0491G
Q9HRY1	VNG0492H
GRPE_HALN1	VNG0494G
Q9HRX9	VNG0496H
Q9HRX8	VNG0498C
Q9HRX7	VNG0499G
Q9HRX6	VNG0500G
Q9HRX5	VNG0501G
Q9HRX4	VNG0502G
Q9HRX3	VNG0503C
Q9HRX2	VNG0504G
Q9HRX1	VNG0505C
Q9HRX0	VNG0506H
Q9HRW9	VNG0507C
Q9HRW8	VNG0508H
Q9HRW7	VNG0509H
PSR2_HALN1	VNG0510G
Q9HRW5	VNG0511H
Q9HRW4	VNG0512G
Q9HRW3	VNG0514C
Q9HRW2	VNG0516H
Q9HRW1	VNG0518H
Q9HRW0	VNG0520H
Q9HRV9	VNG0521G
Q9HRV8	VNG0523G
Q9HRV7	VNG0524G
Q9HRV6	VNG0525C
Q9HRV5	VNG0527C
Q9HRV4	VNG0529H
Q9HRV3	VNG0530G
Q9HRV2	VNG0532H
Q9HRV1	VNG0533H
Q9HRV0	VNG0534C
Q9HRU9	VNG0535C
Q9HRU8	VNG0536G
Q9HRU7	VNG0537C
Q9HRU6	VNG0539C
Q9HRU5	VNG0540G
Q9HRU4	VNG0541G
